Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi,pitch,roll,yaw
41,0.2,-0.001472071,-0.04891228,0.9967099,-79.38335,-637.1831,-189.5599,-0.1560804,0.6528376,-0.01350677,28.94864,53.85278,0,0,0
42,0.205,-0.00659891,-0.05051079,1.003376,77.40251,-564.9457,-179.1107,-0.1523169,0.6523095,-0.01145777,28.95299,53.85838,0,0,0
43,0.21,-0.00396945,-0.05032489,0.9973433,51.48687,-588.9626,-196.5098,-0.1515786,0.6528372,-0.01050597,28.95819,53.86285,0,0,0
44,0.215,-0.009219119,-0.05156647,1.003942,6.821192,-553.3027,-184.3073,-0.1527909,0.6502324,-0.0145166,28.96415,53.86608,0,0,0
45,0.22,-0.003707372,-0.05027355,0.9953364,-21.97326,-613.4711,-298.0509,-0.15458,0.6468344,-0.0180091,28.97072,53.86798,0,0,0
46,0.225,-0.006152339,-0.05082275,0.9989412,3.454804,-480.5636,-292.5238,-0.1553857,0.6429695,-0.01654528,28.96609,53.84678,0,0,0
47,0.23,-0.003492529,-0.05095837,0.9957912,31.10779,-585.3783,-304.0919,-0.1560805,0.6453347,-0.01500787,28.96062,53.822,0,0,0
48,0.235,-0.00474311,-0.04988145,1.00057,156.9522,-492.4564,-275.2675,-0.1554036,0.6513416,-0.01683681,28.95592,53.797,0,0,0
49,0.24,-0.0009035715,-0.05057748,0.9978126,170.5567,-566.5443,-277.6853,-0.1530791,0.6588407,-0.01650789,28.95213,53.77239,0,0,0
50,0.245,-0.00404901,-0.04974286,0.9986351,139.8302,-550.0872,-273.3246,-0.150221,0.6599522,-0.01078563,28.94935,53.74881,0,0,0
51,0.25,-0.002325612,-0.05054709,0.9952047,82.29612,-571.9745,-262.0219,-0.1515793,0.6573397,-0.007504633,28.94764,53.72686,0,0,0
52,0.255,-0.003265305,-0.05097747,0.9977188,9.409151,-597.723,-254.4592,-0.1574525,0.652948,-0.01238533,28.94706,53.70713,0,0,0
53,0.26,-0.002988652,-0.05032937,0.9973491,-25.5188,-517.0278,-245.1963,-0.1635843,0.6528375,-0.01800878,28.94765,53.69017,0,0,0
54,0.265,-0.003512688,-0.04983396,0.9970193,60.62486,-515.5255,-244.6475,-0.1638124,0.6525461,-0.01574545,28.94942,53.67649,0,0,0
55,0.27,-0.004767661,-0.04942632,0.9935687,52.44818,-573.0587,-246.7617,-0.1590817,0.6513366,-0.01050597,28.95234,53.66655,0,0,0
56,0.275,-0.003883826,-0.04916593,0.9960797,52.89885,-625.0167,-296.4808,-0.1536804,0.6471258,-0.01182355,28.95642,53.66071,0,0,0
57,0.28,-0.006024888,-0.04951688,0.9967687,42.31656,-566.4538,-253.7754,-0.1515784,0.6468351,-0.0180091,28.96159,53.65924,0,0,0
58,0.285,-0.001311113,-0.04819388,0.9970894,47.06706,-622.4988,-261.9305,-0.1513572,0.6495337,-0.01962202,28.96779,53.66233,0,0,0
59,0.29,-0.003972515,-0.04959863,0.9954965,86.24594,-551.8351,-244.7221,-0.1515784,0.6543383,-0.01500764,28.97491,53.67001,0,0,0
60,0.295,-0.0001141748,-0.05035069,0.993451,63.48723,-658.8937,-235.9723,-0.1511272,0.6543788,-0.01154221,28.98285,53.68224,0,0,0
61,0.3,-0.001572853,-0.05239164,0.996765,138.0809,-554.0681,-288.4188,-0.1515786,0.6528375,-0.01350711,28.99144,53.69876,0,0,0
62,0.305,0.0003427366,-0.04993247,0.9966906,164.5092,-607.3082,-286.155,-0.1527909,0.6505738,-0.01642667,28.99026,53.70021,0,0,0
63,0.31,-0.004296645,-0.05289146,1.000208,104.3013,-560.5079,-214.0057,-0.1545799,0.6513367,-0.01500726,28.98668,53.70018,0,0,0
64,0.315,0.0004503625,-0.05131789,0.9948831,61.29298,-642.1228,-269.6141,-0.1549736,0.6500291,-0.01057543,28.98376,53.70414,0,0,0
65,0.32,-0.003418081,-0.05270752,0.9999044,45.22484,-563.0667,-192.8171,-0.1545802,0.6483356,-0.009005409,28.98158,53.71197,0,0,0
66,0.325,-0.003412568,-0.04857167,0.9977786,24.73101,-628.0844,-184.8059,-0.1546327,0.6467927,-0.01286304,28.98021,53.72344,0,0,0
67,0.33,-0.004953836,-0.05286161,1.005124,103.0067,-570.6876,-224.8534,-0.1575821,0.6513377,-0.01800882,28.97969,53.73821,0,0,0
68,0.335,-0.002387844,-0.04852889,0.9972042,54.98611,-630.7788,-311.2941,-0.1620261,0.6570207,-0.01783458,28.98003,53.75584,0,0,0
69,0.34,-0.006521328,-0.05051475,1.002012,-4.423094,-559.0571,-261.0819,-0.1650848,0.6603408,-0.01200634,28.98125,53.77584,0,0,0
70,0.345,-0.00415866,-0.04805609,0.9978898,42.7938,-571.1467,-282.8047,-0.1630241,0.6560391,-0.008367135,28.98333,53.7977,0,0,0
71,0.35,-0.005299251,-0.05179079,1.003646,75.73809,-564.3354,-304.3055,-0.1575813,0.6513371,-0.01350786,28.98623,53.82079,0,0,0
72,0.355,-0.0009587228,-0.0508089,0.9986271,74.38043,-633.4822,-299.8655,-0.1532525,0.6494026,-0.02233504,28.98993,53.84454,0,0,0
73,0.36,-0.003583702,-0.05135131,1.000592,28.55092,-584.6712,-302.9947,-0.1545804,0.6528375,-0.02401142,28.99438,53.86834,0,0,0
74,0.365,-0.00130844,-0.05075494,0.9990206,10.36567,-603.3785,-270.321,-0.1588028,0.6536316,-0.01725551,28.99949,53.89161,0,0,0
75,0.37,-0.005920871,-0.05036173,1.000612,77.34657,-569.9758,-225.4393,-0.1605823,0.6513364,-0.01200646,29.00519,53.91381,0,0,0
76,0.375,-0.002964422,-0.05147398,1.001076,53.8787,-620.4517,-241.5525,-0.1566823,0.6460955,-0.01335398,29.01136,53.93438,0,0,0
77,0.38,-0.005212824,-0.05101505,1.001144,145.2597,-625.3865,-250.4197,-0.1515784,0.6453342,-0.01500751,29.01789,53.9528,0,0,0
78,0.385,-0.005284212,-0.05336373,0.9987383,45.14806,-590.8689,-192.7651,-0.1495847,0.6472754,-0.01251655,29.01582,53.9523,0,0,0
79,0.39,-0.005236443,-0.05132233,0.9986631,-4.099892,-592.5585,-220.1166,-0.1515786,0.6513369,-0.01200696,29.00961,53.94102,0,0,0
80,0.395,-0.006564111,-0.05067623,0.9978874,77.49654,-525.8718,-228.8258,-0.1535922,0.6517138,-0.0174453,29.00381,53.92749,0,0,0
81,0.4,-0.004526743,-0.05114926,0.9993995,168.3414,-562.5049,-240.2903,-0.1545801,0.6513368,-0.02100986,28.99858,53.91201,0,0,0
82,0.405,-0.005717832,-0.0490979,0.9980623,97.44778,-545.0013,-240.3477,-0.155049,0.6496187,-0.01580183,28.99402,53.89496,0,0,0
83,0.41,-0.003753096,-0.04990681,0.9958777,49.52462,-617.1257,-193.0677,-0.1560804,0.6498359,-0.009005283,28.99022,53.87676,0,0,0
84,0.415,-0.004585812,-0.04840355,0.9961837,107.2922,-531.2635,-242.2997,-0.1551193,0.6480345,-0.01036484,28.98727,53.85786,0,0,0
85,0.42,-0.001843177,-0.05019968,0.9973944,152.0957,-600.8375,-242.6012,-0.151578,0.6468349,-0.01650825,28.98523,53.83871,0,0,0
86,0.425,-0.003491068,-0.05103064,0.9967748,65.74791,-543.7334,-244.9723,-0.1473089,0.6459098,-0.01765204,28.98412,53.81985,0,0,0
87,0.43,-0.001050824,-0.05006028,0.9947754,106.6752,-601.7037,-205.2019,-0.1470769,0.6498368,-0.01350684,28.98399,53.80175,0,0,0
88,0.435,-0.00316485,-0.05014196,0.9955629,21.26248,-578.1784,-215.1281,-0.1511141,0.6541767,-0.01081485,28.98484,53.78492,0,0,0
89,0.44,-0.00128987,-0.04924111,0.9939204,1.869682,-562.1689,-273.2218,-0.1560805,0.6573393,-0.01200693,28.98667,53.76982,0,0,0
90,0.445,-0.005305175,-0.05269908,0.9988231,81.16686,-557.9677,-218.4151,-0.1565565,0.6541616,-0.0151196,28.98944,53.75689,0,0,0
91,0.45,-0.003217561,-0.05033367,0.9945679,1.602787,-591.5562,-209.4677,-0.153079,0.6498361,-0.01951024,28.99311,53.74646,0,0,0
92,0.455,-0.004313767,-0.05220059,0.9965093,30.85156,-546.0673,-211.5382,-0.1498822,0.6469035,-0.02299619,28.99759,53.73884,0,0,0
93,0.46,-0.0005050544,-0.04929472,0.9905776,60.81445,-643.4702,-303.2653,-0.151579,0.6498361,-0.02101001,29.00278,53.73418,0,0,0
94,0.465,-0.004184141,-0.05221855,0.9982168,111.6309,-514.5321,-219.3457,-0.155531,0.6514557,-0.01467572,29.00122,53.71895,0,0,0
95,0.47,0.0005589364,-0.05028683,0.9942362,43.16861,-614.322,-260.2033,-0.1575815,0.6498358,-0.01200635,28.99438,53.69616,0,0,0
96,0.475,-0.003218238,-0.05198921,0.9984862,174.8981,-538.339,-201.3905,-0.1566954,0.6450712,-0.01445788,28.9883,53.67723,0,0,0
97,0.48,0.0001576822,-0.05065975,0.9921635,132.3347,-604.5455,-213.1893,-0.1575819,0.6468356,-0.01350599,28.9831,53.66248,0,0,0
98,0.485,-0.003519314,-0.05075161,0.9967451,61.88192,-564.7747,-262.6055,-0.1606339,0.6527476,-0.006307459,28.97887,53.65217,0,0,0
99,0.49,-0.00135253,-0.05047574,0.9968123,146.1923,-568.4855,-174.9339,-0.1620831,0.657339,-0.003002697,28.97568,53.64639,0,0,0
100,0.495,-0.003756316,-0.04946513,1.00082,72.61839,-574.8655,-193.8376,-0.1586407,0.6526052,-0.009162368,28.97359,53.64513,0,0,0
101,0.5,-0.004157103,-0.05114347,0.9982846,60.65145,-607.3876,-211.1865,-0.1545798,0.6468351,-0.01500705,28.97261,53.64826,0,0,0
102,0.505,-0.006944306,-0.04849144,0.9989382,122.7391,-555.2621,-244.3701,-0.1531224,0.6461365,-0.01190502,28.97274,53.65557,0,0,0
103,0.51,-0.006201723,-0.04976773,0.9981869,65.66132,-607.3566,-212.8676,-0.1530787,0.6528376,-0.007505026,28.97398,53.66677,0,0,0
104,0.515,-0.007310412,-0.05251257,1.002341,105.1558,-564.7727,-273.8552,-0.1507243,0.6555599,-0.01164923,28.97629,53.6815,0,0,0
105,0.52,-0.005174849,-0.05158232,1.000383,25.04695,-594.0065,-310.4226,-0.1485773,0.6528376,-0.01950981,28.97963,53.69931,0,0,0
106,0.525,-0.004843922,-0.0522798,1.000578,71.8737,-615.223,-311.6977,-0.1495561,0.6485648,-0.02079345,28.98391,53.71974,0,0,0
107,0.53,-0.003782897,-0.05053557,0.9973757,96.7082,-568.1268,-369.2948,-0.1530792,0.6528383,-0.01650825,28.98906,53.74225,0,0,0
108,0.535,-0.003249639,-0.05292824,1.001354,159.1956,-591.3262,-281.4058,-0.1543394,0.6592889,-0.01385049,28.99496,53.76629,0,0,0
